price,developer,item_id,año
9.99,Valve,70,2015
9.99,Valve,70,2011
9.99,Valve,70,2014
9.99,Valve,70,2013
9.99,Valve,70,2013
9.99,Valve,70,2014
9.99,Valve,70,2013
9.99,Valve,70,2015
9.99,Valve,70,2014
9.99,Valve,70,2015
9.99,Valve,70,2014
9.99,Valve,70,2014
9.99,Valve,70,2015
9.99,Valve,70,2014
9.99,Valve,70,2015
9.99,Valve,70,2014
9.99,Valve,70,2015
9.99,Valve,70,2014
9.99,Valve,70,2014
9.99,Valve,70,2013
9.99,Valve,70,2015
9.99,Valve,70,2014
9.99,Valve,70,2012
9.99,Valve,70,2014
9.99,Valve,70,2014
9.99,Valve,70,2015
9.99,Valve,70,2012
9.99,Valve,70,2014
9.99,Valve,70,2011
9.99,Valve,70,2014
9.99,Valve,70,2014
9.99,Valve,70,2015
9.99,Valve,70,2014
9.99,Valve,70,2014
9.99,Valve,70,2015
9.99,Valve,70,2013
9.99,Valve,70,2014
9.99,Valve,70,2015
9.99,Valve,70,2015
9.99,Valve,70,2015
9.99,Valve,70,2014
9.99,Valve,70,2015
9.99,Valve,70,2014
9.99,Valve,70,2012
9.99,Valve,70,2013
9.99,Valve,70,2014
9.99,Valve,70,2013
9.99,Valve,70,2013
9.99,Valve,70,2015
9.99,Valve,70,2014
9.99,Valve,70,2014
9.99,Valve,70,2014
9.99,Valve,70,2015
9.99,Valve,70,2015
9.99,Valve,70,2015
9.99,Outerlight Ltd.,2400,2014
9.99,Outerlight Ltd.,2400,2015
9.99,Outerlight Ltd.,2400,2015
9.99,Outerlight Ltd.,2400,2013
9.99,Outerlight Ltd.,2400,2014
9.99,Outerlight Ltd.,2400,2014
9.99,Outerlight Ltd.,2400,2014
9.99,Outerlight Ltd.,2400,2014
9.99,Outerlight Ltd.,2400,2015
9.99,Outerlight Ltd.,2400,2014
9.99,Outerlight Ltd.,2400,2013
9.99,Outerlight Ltd.,2400,2015
9.99,Outerlight Ltd.,2400,2014
9.99,Outerlight Ltd.,2400,2014
9.99,Outerlight Ltd.,2400,2014
9.99,Outerlight Ltd.,2400,2014
9.99,Outerlight Ltd.,2400,2014
9.99,Outerlight Ltd.,2400,2014
9.99,Outerlight Ltd.,2400,2015
9.99,Outerlight Ltd.,2400,2014
9.99,GlyphX Games,3800,2014
9.99,Introversion Software,1520,2013
9.99,Introversion Software,1520,2012
9.99,Introversion Software,1520,2014
9.99,Introversion Software,1520,2015
9.99,Introversion Software,1520,2014
9.99,Introversion Software,1520,2014
9.99,Introversion Software,1520,2015
9.99,Introversion Software,1520,2014
9.99,Outerlight Ltd.,2420,2014
9.99,Outerlight Ltd.,2420,2014
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2012
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2012
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2011
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2012
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2012
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2011
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2013
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2014
9.99,Facepunch Studios,4000,2015
9.99,Facepunch Studios,4000,2013
