developer,recommend,user_id,sentiment_analysis,año
Valve,1,EizanAratoFujimaki,1,2015
Valve,1,GamerFag,0,2011
Valve,1,76561198020928326,1,2014
Valve,1,Bluegills,2,2013
Valve,1,76561198071955492,2,2013
Valve,1,digfernandes,1,2014
Valve,1,76561197970812298,2,2013
Valve,1,meeeedie,1,2015
Valve,1,phrostb,1,2014
Valve,1,KewlKatzz,0,2015
Valve,1,TheRealMeatyMate,2,2014
Valve,1,Auditore70,1,2014
Valve,1,voaDs,1,2015
Valve,1,76561198060319088,2,2014
Valve,1,76561198085571748,2,2015
Valve,1,76561198049424642,2,2014
Valve,1,LayzeeBoi,2,2015
Valve,1,midniteviii,1,2014
Valve,1,i_dont_give_a_jacks_ass,1,2014
Valve,1,76561198088947777,2,2013
Valve,1,pandasmokingbamboo,1,2015
Valve,1,patpat14,1,2014
Valve,1,ripvision,2,2012
Valve,1,DXLfore,0,2014
Valve,1,matrix12384,2,2014
Valve,1,GAHK,2,2015
Valve,1,76561198056482812,2,2012
Valve,1,76561198054970463,1,2014
Valve,1,coolman1342,2,2011
Valve,1,dragonlore23,2,2014
Valve,1,DudeJazza,2,2014
Valve,1,76561198054544978,1,2015
Valve,1,76561198067182014,0,2014
Valve,1,76561198026641932,1,2014
Valve,1,76561198096849086,0,2015
Valve,1,MartinMayonnaise,2,2013
Valve,1,h00py,2,2014
Valve,1,brunolopez67,2,2015
Valve,1,MarsupialesLocos,1,2015
Valve,1,cat1,2,2015
Valve,1,RAINZFOXX,2,2014
Valve,1,lellol,2,2015
Valve,1,76561198059451329,2,2014
Valve,1,512356,1,2012
Valve,1,epic_doom,2,2013
Valve,1,76561198034940671,1,2014
Valve,1,76561198037529631,2,2013
Valve,1,Spasticmario,2,2013
Valve,1,76561198064985698,2,2015
Valve,1,dominozpizza-r-us,2,2014
Valve,1,76561198084204849,2,2014
Valve,1,-Ultrix,2,2014
Valve,1,supercheesetoaster,1,2015
Valve,1,76561198125270928,2,2015
Valve,1,pizzajesus,0,2015
Outerlight Ltd.,1,DeadFishCorporation,0,2014
Outerlight Ltd.,1,76561198077337646,2,2015
Outerlight Ltd.,1,Tacos4Lyfe,0,2015
Outerlight Ltd.,1,kamakze751,2,2013
Outerlight Ltd.,1,76561198065138903,2,2014
Outerlight Ltd.,1,alasdair2013,0,2014
Outerlight Ltd.,1,76561197996992703,2,2014
Outerlight Ltd.,1,76561198071308026,1,2014
Outerlight Ltd.,1,SuperAnalNoScope,1,2015
Outerlight Ltd.,0,INFERNOpineapple,0,2014
Outerlight Ltd.,1,nnotzsb,2,2013
Outerlight Ltd.,1,imstrongerthanyou,2,2015
Outerlight Ltd.,1,LudoTiddlywinks,2,2014
Outerlight Ltd.,1,wealthybigpenis69,0,2014
Outerlight Ltd.,1,aussiedude101101,2,2014
Outerlight Ltd.,1,jacobissick,2,2014
Outerlight Ltd.,1,kelly31944,2,2014
Outerlight Ltd.,1,76561198064649892,1,2014
Outerlight Ltd.,1,caydrobertson,0,2015
Outerlight Ltd.,1,76561198095562061,0,2014
GlyphX Games,1,DrQuaz,2,2014
Introversion Software,1,archsniper9,2,2013
Introversion Software,1,mozzie-killer,2,2012
Introversion Software,1,76561198068204503,2,2014
Introversion Software,1,Dabeh,2,2015
Introversion Software,0,elliottgame,0,2014
Introversion Software,1,FatPimp,2,2014
Introversion Software,0,goonmurry,1,2015
Introversion Software,1,Ogargd,2,2014
Outerlight Ltd.,1,76561198060713420,2,2014
Outerlight Ltd.,1,ristoff-,2,2014
Facepunch Studios,1,WeiEDKrSat,1,2013
Facepunch Studios,1,death-hunter,2,2014
Facepunch Studios,1,KanadeTheNeko,1,2014
Facepunch Studios,1,76561198090715178,2,2014
Facepunch Studios,1,AVATAR715,2,2014
Facepunch Studios,1,DemonicWolvz,1,2015
Facepunch Studios,1,Pyromanic,2,2013
Facepunch Studios,1,76561198044169764,1,2015
Facepunch Studios,1,76561198087010391,2,2015
Facepunch Studios,1,tarjla,2,2013
Facepunch Studios,1,hellcat59,2,2014
Facepunch Studios,1,SlutOnTheSpit,2,2014
Facepunch Studios,1,Alex680,2,2014
Facepunch Studios,1,uradumbtit,2,2014
Facepunch Studios,1,76561198082992295,1,2014
Facepunch Studios,1,Astrelt,2,2015
Facepunch Studios,1,de_triggered,2,2015
Facepunch Studios,1,BBBirb,1,2014
Facepunch Studios,1,76561198096750939,2,2015
Facepunch Studios,1,Too_1337,2,2015
Facepunch Studios,1,IJustWantedToTalk,2,2015
Facepunch Studios,1,Barridos,1,2014
Facepunch Studios,1,hbk1462,2,2014
Facepunch Studios,1,76561198057389499,2,2015
Facepunch Studios,1,bobseagull,1,2014
Facepunch Studios,1,Bonesdontrattlethem,0,2014
Facepunch Studios,1,76561198105270589,2,2015
Facepunch Studios,1,BugsyBro,1,2014
Facepunch Studios,1,76561198079009374,2,2014
Facepunch Studios,1,76561198067657905,2,2014
Facepunch Studios,1,carouserwhite,2,2014
Facepunch Studios,1,asdasdfsadgdfhfgjggj,2,2014
Facepunch Studios,1,76561198097450390,1,2015
Facepunch Studios,1,76561198142474106,0,2015
Facepunch Studios,1,Norf_Norf,2,2013
Facepunch Studios,1,76561198041840982,1,2013
Facepunch Studios,0,OfficialSenix,1,2015
Facepunch Studios,1,76561198071207551,1,2014
Facepunch Studios,1,76561198074347537,1,2014
Facepunch Studios,1,76561198172099661,2,2015
Facepunch Studios,0,76561198107928649,1,2015
Facepunch Studios,1,76561198048024738,1,2014
