developer,sentiment_analysis
Valve,1
Valve,0
Valve,1
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,1
Valve,0
Valve,2
Valve,1
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,1
Valve,2
Valve,1
Valve,1
Valve,2
Valve,0
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,1
Valve,0
Valve,1
Valve,0
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,1
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,2
Valve,1
Valve,2
Valve,0
Outerlight Ltd.,0
Outerlight Ltd.,2
Outerlight Ltd.,0
Outerlight Ltd.,2
Outerlight Ltd.,2
Outerlight Ltd.,0
Outerlight Ltd.,2
Outerlight Ltd.,1
Outerlight Ltd.,1
Outerlight Ltd.,0
Outerlight Ltd.,2
Outerlight Ltd.,2
Outerlight Ltd.,2
Outerlight Ltd.,0
Outerlight Ltd.,2
Outerlight Ltd.,2
Outerlight Ltd.,2
Outerlight Ltd.,1
Outerlight Ltd.,0
Outerlight Ltd.,0
GlyphX Games,2
Introversion Software,2
Introversion Software,2
Introversion Software,2
Introversion Software,2
Introversion Software,0
Introversion Software,2
Introversion Software,1
Introversion Software,2
Outerlight Ltd.,2
Outerlight Ltd.,2
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,0
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,0
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,1
Facepunch Studios,1
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,1
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,1
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,1
Facepunch Studios,0
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,0
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,0
Facepunch Studios,2
Facepunch Studios,0
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,1
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,0
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,1
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,0
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,1
Facepunch Studios,2
Facepunch Studios,2
Facepunch Studios,2
